lambda=0.8 (izx),lambda=0.2 (izx),lambda=0.8 (izy),lambda=0.2 (izy)
155.0036853,152.6451067,2.329530826,2.53465282
60.78527929,58.19913386,4.475536888,2.934710728
50.81205828,48.02896977,5.122894422,3.010143107
42.14909535,41.3429659,6.279878736,3.084283816
39.69161504,37.46127997,5.067584854,3.112896518
37.61669472,34.8456087,4.032617741,3.140763832
34.79275508,32.34787481,5.277464884,3.172393941
34.7480452,30.75176316,6.093905176,3.181580304
32.54782719,29.51867282,5.6306174,3.196392934
30.389214,28.31648365,6.116727568,3.216240534
29.57058058,27.35093039,3.724913441,3.220593891
28.69515422,26.62435582,5.106014588,3.225250881
27.54324799,25.31465094,4.984885886,3.23953993
27.40731175,24.6235706,4.194625132,3.247847042
26.26707774,23.76324114,6.362993725,3.248755343
25.81377221,23.26713344,6.192811613,3.259131062
24.30567569,22.32064365,4.80165997,3.265636963
22.39816085,21.9512472,5.155419839,3.266718609
24.23689737,21.18374809,4.670191461,3.274342369
22.38423689,20.73992877,4.850690931,3.276727419
21.38935897,20.66701704,4.684851758,3.273539089
23.23998492,20.02126738,7.902473066,3.281022947
22.7898736,19.40969576,3.046232626,3.282080654
21.19122378,19.3878731,4.065721206,3.282820905
20.96984517,18.60101386,3.017681442,3.288064258
21.02031225,18.29048576,3.264404787,3.289223062
20.79464001,17.9501198,4.824797939,3.290437095
18.30128161,17.70663274,3.937835966,3.289921234
18.91959958,17.09468974,6.429816482,3.295399238
19.79571922,17.09720078,4.961038279,3.293132148
17.14650652,16.63327003,4.022603901,3.29684399
15.63196092,16.34993391,5.305833129,3.296586196
18.5406039,16.32243476,5.175844138,3.295608673
18.47981951,15.84172334,4.488537866,3.299564596
16.84215008,15.70102573,5.503285457,3.299712591
16.62342619,15.48179753,6.148661422,3.299122012
16.32186937,15.08621344,4.368575105,3.301432928
16.34309899,14.78517709,3.759055527,3.302836925
16.57190141,14.69206236,4.57713103,3.301752853
18.65722151,14.28886147,5.61318943,3.304068515
16.67132243,14.51496116,6.040794227,3.301556063
16.45208604,14.25186421,4.314064483,3.303369231
16.8901978,13.76297542,4.952528464,3.305750508
16.25341972,13.92405551,5.644309113,3.303352549
15.26715204,13.58577246,5.37597297,3.304812324
13.81125243,13.31516943,3.809519617,3.305942873
17.25102199,13.16191022,6.21598183,3.306727976
16.28833496,13.06398967,6.303898633,3.306199669
15.68175521,13.03012257,5.411822179,3.306041884
15.9468217,12.80775859,5.350681218,3.30710757
16.24210751,12.81849767,5.760191115,3.306991373
15.75582193,12.66020209,5.54747359,3.306675284
15.1927557,12.81017206,4.944570267,3.305581198
15.95372271,12.5193551,4.69423125,3.306820258
13.27181811,11.99865365,5.335461734,3.309645624
14.03417224,12.09287547,5.945287061,3.308487184
12.53117969,11.64007741,5.593233636,3.310247931
13.55043459,11.71008194,4.02827391,3.309754795
13.94658473,11.78697073,4.708308073,3.30859956
14.43482922,11.67687135,3.769379786,3.308017973
13.02710052,11.35058271,5.083296643,3.311478684
13.49159357,11.36317169,7.953979122,3.310741304
13.03497539,11.41347907,7.52875529,3.309170245
12.40639256,11.17085871,5.040245969,3.310414733
15.44221016,11.04366935,5.828982121,3.311049647
12.95272416,11.20176994,4.651963107,3.309759598
13.64940122,10.89257767,5.226991694,3.31162593
13.63407246,11.01246669,5.290816317,3.310263966
14.00081672,10.53923919,6.943870997,3.312136295
12.17220145,10.73095344,4.452864088,3.311062392
12.92242948,10.80530758,5.875566792,3.311015846
12.58625434,10.48579812,6.717973929,3.311772562
11.24327811,10.52327684,4.62679659,3.311586323
11.88629637,10.30974802,5.698203563,3.312129875
11.83793713,10.27686538,7.647018555,3.312507316
13.30829244,10.10796195,3.534806873,3.312977006
12.32820292,10.07284538,6.156478011,3.312145237
11.69374818,10.02133411,7.289594308,3.312524132
11.21586703,9.994565678,5.37191149,3.312252258
12.13490998,10.1501899,5.647274408,3.31199131
12.16200534,9.840911774,4.129095311,3.312707981
10.83327114,9.869451527,4.776565849,3.312928655
11.15154859,9.787597774,4.84690512,3.313650769
12.48989217,9.792812093,5.336332684,3.313164865
10.18463262,9.628675674,5.100898469,3.313211784
11.88165953,9.710287744,4.737237059,3.313064332
14.23113077,9.687170192,4.302857539,3.31295243
12.8510137,9.456995896,3.587630078,3.313937677
10.69589677,9.584502756,4.675497854,3.312181072
11.64299191,9.467090757,4.147490423,3.313208237
11.45516688,9.384269347,4.648042445,3.313239688
12.94589578,9.525743698,4.567163957,3.312706513
10.9152148,9.321380992,7.189480891,3.314184892
11.42084183,9.21480276,7.67420082,3.313474163
9.6064828,9.101561846,5.656047417,3.314723427
10.86198419,9.01698969,4.198481048,3.314721786
9.853716363,9.306471284,3.903128794,3.313409944
10.27292831,8.998207655,5.264251575,3.314763889
10.94083284,8.999296061,6.222754327,3.314091549
10.94200677,8.890469769,4.729877807,3.315030094
11.42992464,8.944868142,4.966243207,3.314564908
10.71244577,9.031331389,5.48789213,3.31398703
11.53040832,9.020614974,4.176232369,3.31446866
10.6853555,8.811921501,5.049898343,3.314401438
10.97197814,8.717284516,6.811462682,3.315202842
9.064873924,8.856148688,3.49548935,3.313705786
11.42705611,8.667980621,4.818935751,3.315116812
11.42187022,8.704880342,4.973034175,3.314292938
9.42096683,8.670513575,4.284084055,3.314758384
11.65732152,8.581718327,4.757017907,3.315441566
10.41643617,8.590903173,4.742672735,3.314638287
11.16661156,8.558694063,4.787462148,3.314693395
10.78116743,8.464284207,4.48592084,3.315385909
9.989458951,8.490384792,4.746222122,3.314583385
8.753732138,8.454338165,6.300077228,3.315134515
10.6201995,8.385467398,4.008726493,3.315637197
8.624899686,8.348637286,3.262821056,3.315238129
9.146812466,8.43279686,5.281656081,3.314854658
9.927543031,8.248801022,5.550014584,3.315543778
9.108956526,8.284034793,4.676945557,3.315471134
8.887308763,8.182034758,4.662844343,3.316014044
11.54026908,8.36771307,5.693604115,3.314785457
9.974068585,8.221975858,5.765789202,3.315505602
10.57938734,8.248420988,4.486260198,3.315187358
10.61643677,8.096120507,4.281713456,3.3158385
10.2973974,8.059705925,6.746274493,3.31587658
11.09484489,8.151535897,6.276701875,3.31497421
9.495658039,8.158257555,6.108248163,3.316022961
10.50730517,8.17051848,5.028438413,3.31524935
10.43137226,8.084066657,7.426659339,3.315723493
7.796606827,8.067428802,6.9841128,3.315566814
10.45532059,8.128863419,6.471118462,3.315852891
9.566141422,8.166790197,6.893044696,3.315109435
8.822616787,8.022623916,4.858743004,3.315895852
8.67912676,7.920351496,5.729826321,3.316412352
11.0811511,7.832751619,5.273642873,3.316239315
8.737634273,7.859049491,6.147280323,3.315267397
9.340981489,7.833292575,4.161749457,3.315982804
10.0424651,7.93395408,6.310799463,3.315656799
9.218290335,7.878518529,4.817899995,3.315945315
10.93611386,7.840127405,3.371082261,3.316105679
9.145025083,7.71590216,5.516966912,3.316127105
11.08524868,7.784942906,4.788971945,3.315902668
9.50953468,7.768609272,5.928418691,3.316292602
10.02821513,7.70049458,5.095673964,3.316292487
10.25634095,7.780133622,6.394125151,3.316150825
9.213685139,7.667738106,6.357626356,3.316297343
8.786114216,7.765667107,5.130609707,3.316257967
10.22954469,7.729592099,5.597962217,3.31567696
9.078452693,7.738197084,3.821089515,3.316041797
11.75654136,7.74797371,4.895364572,3.315869714
9.379975186,7.684501505,4.538954928,3.316439388
9.979109458,7.638858336,4.489066099,3.31606994
9.782024051,7.536670907,7.11017666,3.31652962
9.984738837,7.671924153,5.319316119,3.316037384
8.564406382,7.525093376,6.766618123,3.316478747
9.196313633,7.563619166,5.161362723,3.316473078
7.89551777,7.462706936,5.117585687,3.316802483
9.013311901,7.564251834,6.456063136,3.316062212
10.83958363,7.540491054,5.32869926,3.316723439
10.22995454,7.461284029,6.193693235,3.316454785
9.766899799,7.575712363,6.395209853,3.316368737
11.16428907,7.462069337,5.095929937,3.316691074
11.11044845,7.449779722,4.387824886,3.316498976
8.452967989,7.3684713,3.572004584,3.316806984
8.951693065,7.367136674,4.214862755,3.316508901
9.0649423,7.395788404,5.030241961,3.31670987
9.12607465,7.428375589,5.397557042,3.316071284
8.379559108,7.418095882,5.158769881,3.316732079
8.70598799,7.28405063,7.042550987,3.316957356
9.472602245,7.330797861,6.269440077,3.316793472
11.37776145,7.410927859,4.592249718,3.316549472
9.129291844,7.334093839,4.029901089,3.316510004
7.628140344,7.294321719,5.282294012,3.317026683
7.452179073,7.248791518,6.137488906,3.316702651
10.30441514,7.297729045,3.617335611,3.316638756
6.781619667,7.351248564,5.461825134,3.316942278
9.292227594,7.218710466,6.111011807,3.317040454
10.04957243,7.262131468,5.85217396,3.316908317
9.197981536,7.104042866,5.830404066,3.317284212
9.29297999,7.193295536,5.496061418,3.316399781
8.981365053,7.307097097,4.392728405,3.316258674
8.590350024,7.232949795,4.735444178,3.317170607
10.04240272,7.260279249,4.13421056,3.316540774
9.778527795,7.093486468,4.842744829,3.317142829
8.901939466,7.108406169,4.347337078,3.316914506
10.80353184,7.122541895,5.810610091,3.316724641
11.30503149,7.155696996,6.151700448,3.316587617
11.65421964,7.164149598,5.996358217,3.317164602
8.952276285,7.108164224,4.965145118,3.316738789
10.0625674,7.093145103,6.644989062,3.317267798
9.11862434,7.04937896,6.665614913,3.316836261
7.79734943,7.228668828,5.062355032,3.316251303
8.417874394,7.090587119,4.811503305,3.317096318
8.355150509,6.987350539,7.1176047,3.31746103
8.939273209,7.024850253,6.952616823,3.317046449
8.246029499,7.060017059,2.815596148,3.317058316
7.26072688,6.986332087,4.607514505,3.317196223
9.134286227,7.104238072,5.772174993,3.316447527
9.803194531,7.097877898,5.138808855,3.316882346
8.136488785,7.089588424,5.794112507,3.317270049
9.817745822,6.969405999,5.456386757,3.3170234
8.824023499,7.030199258,5.402274202,3.317156944
8.429556154,6.943479036,5.258896179,3.317085369
10.43736652,6.984005899,3.819078304,3.316805629
9.41843303,7.09954116,5.635507567,3.316876736
8.925891093,7.016068236,4.613175945,3.317069099
8.771665057,6.967284727,5.442135706,3.317233715
8.786898811,6.891402587,5.803124034,3.317402291
7.607393133,6.879741217,6.232456758,3.317427199
7.834439984,6.929379479,5.372384885,3.317311974
9.309442636,6.950956626,6.509488089,3.317191825
7.865796811,6.864621326,4.841903188,3.31747025
10.19153303,6.902002226,4.559737929,3.317298442
8.11726098,6.936678916,3.739584253,3.317136563
8.420499573,6.91027701,5.164296415,3.317014024
8.034223873,6.860636595,6.037721936,3.317498974
9.217407915,6.923689302,5.399581929,3.317013309
8.87589908,6.866036429,5.409377825,3.317461393
10.18705626,6.823915552,4.858171906,3.31737643
8.834473951,6.88189311,5.563844934,3.317195405
7.97670351,6.80055884,4.695779697,3.317593398
9.470804524,6.789270151,3.620491179,3.317482777
9.154856903,6.867130981,3.789599767,3.316990728
9.043763456,6.856075966,5.192463973,3.317239379
8.473882397,6.775332771,4.674532688,3.317416848
9.199875794,6.807546765,4.024882296,3.317440383
7.208315619,6.833219951,5.814139057,3.317025727
9.254893048,6.83262969,7.203177838,3.317456067
8.320326474,6.792460784,5.054316706,3.317704366
9.077421256,6.786117165,4.939003716,3.317392687
9.521814816,6.771584354,6.934805516,3.3171463
9.031687499,6.80842604,5.140334768,3.317629279
8.380507544,6.762567929,5.71075417,3.317154762
9.335473554,6.784259288,5.063241868,3.317391036
9.592946413,6.732460188,6.514046587,3.317555144
9.450644096,6.76394548,5.949810039,3.317386676
9.835717553,6.733539854,6.61976984,3.317605168
8.938680727,6.689300387,4.359793862,3.317488495
9.758268912,6.71008442,5.590470585,3.317548221
9.15535475,6.701030275,5.073006644,3.317349292
6.743461591,6.761000066,6.331928247,3.317530841
8.89247331,6.718172203,6.43210991,3.317255192
7.695978813,6.714154593,3.506078306,3.317550437
8.352307464,6.690883353,7.055264375,3.317500159
7.80643012,6.723870999,4.61436878,3.31710066
7.993990736,6.654995482,6.313402559,3.317587295
5.839477042,6.683883472,3.528178483,3.317480344
9.185022628,6.656247153,4.46442374,3.317377958
8.688120821,6.60466624,5.667980318,3.317581823
9.237675423,6.635583128,3.462926975,3.317591355
8.43518231,6.653149736,6.051314761,3.317439303
10.48190356,6.633572989,3.473661204,3.317510171
10.00713286,6.671397652,5.760003477,3.317311786
10.8201037,6.695453687,4.785954142,3.317554672
8.602274303,6.654023695,4.338256509,3.317154211
8.826992311,6.692739843,4.61924201,3.317536718
7.100815966,6.597251254,4.678834858,3.31754122
8.69664133,6.66579945,5.254890441,3.317278982
9.225084883,6.602001177,5.560612996,3.31784386
8.249052123,6.640690781,5.196546194,3.317345557
6.746617516,6.647353706,5.929529814,3.317584937
7.87046833,6.651528981,4.414732097,3.317590925
8.789538575,6.581118236,4.636909683,3.317864223
7.700105022,6.608929859,7.841752348,3.317166371
9.024294252,6.60940648,5.108187562,3.317743044
7.28777426,6.580116108,5.27719893,3.317278517
10.13362133,6.610364785,6.749921828,3.317358842
9.185653899,6.558911462,4.609667938,3.317672974
9.681181525,6.650484392,6.433720413,3.317259716
8.549422407,6.511886899,3.320579074,3.317830768
9.215113645,6.549753571,4.207981489,3.317491204
7.168403007,6.57563497,3.639680959,3.317809591
9.624006686,6.640283367,4.460389212,3.31748067
11.27972296,6.631320586,3.68829057,3.317522118
7.971741924,6.556929609,5.332660758,3.317672451
9.610520149,6.631743329,6.19081993,3.317685316
9.875295455,6.541397896,5.234801766,3.317655072
8.989530666,6.51436484,4.125901579,3.317611296
7.566723346,6.591550625,5.452683328,3.317599126
7.765640293,6.569505317,5.516681108,3.317511599
8.305576409,6.545530994,4.049042344,3.317472296
8.832970579,6.504379223,4.980534997,3.317679731
8.194706263,6.506852429,5.672830886,3.317818601
7.291653605,6.474202147,4.934573494,3.317750719
9.171050352,6.456478403,5.049742373,3.317479609
8.017643814,6.539536769,4.460318437,3.317726626
8.877936429,6.51538276,5.164115813,3.31775655
8.568601667,6.505452676,5.245539608,3.317922456
8.204618207,6.516261941,5.477420719,3.317605124
9.587978262,6.545063112,7.004050237,3.317437581
6.329499361,6.51143035,4.647136943,3.317571944
9.104118925,6.49814073,4.82630937,3.317452185
7.451384114,6.480437313,4.679131431,3.317629098
8.41181113,6.456577832,3.756687901,3.317900629
10.67115262,6.569599894,3.222879042,3.317441062
8.75320192,6.513947314,5.700550268,3.317773582
7.503556611,6.430781585,4.465679594,3.317857643
8.617329792,6.398933658,3.406518625,3.317953407
9.588565961,6.442696367,2.975959074,3.317713149
